,degree,degree_centrality,closeness,betweenness,clustering,eigenvector,pagerank,average_neighbor_degree,graph_labels
7536,395,0.04021584198737528,0.5101807604404737,1.676234116566259e-06,0.6376919617040416,0.0028532304962422144,2.8635896850854073e-05,2795.144303797468,0
7718,481,0.048971696192221546,0.5125502269999478,3.2287429173582435e-06,0.5906964656964657,0.0032990786073039137,3.225325787915468e-05,2644.6403326403324,0
8419,312,0.03176542455711668,0.5078856197321475,1.0133830750764913e-06,0.6705622887294913,0.0022180189301403736,2.5493835235278193e-05,2757.7948717948716,0
8076,306,0.031154551007941355,0.5075706681825228,9.83089321920688e-07,0.6787956712739741,0.0019323345250977441,2.5561972228785056e-05,2372.4869281045753,0
4766,728,0.07411932396660557,0.519242968915204,6.846283224788204e-06,0.6053554423568178,0.00541838017670486,4.271755174336533e-05,2845.0741758241757,0
9724,308,0.03135817552433313,0.5078593588417787,7.862963341011208e-07,0.7374465924954524,0.00260812817309705,2.427480752356812e-05,3342.155844155844,0
6093,410,0.04174302586031358,0.5105520324358042,2.3070229452968675e-06,0.6360784781441946,0.0030723295126713636,2.777792451397159e-05,2915.5170731707317,0
9657,658,0.06699246589289351,0.5171923542730767,5.739871869457264e-06,0.5695317668503329,0.0043745228521497835,4.163293201819172e-05,2510.1671732522796,0
9885,468,0.047648136835675016,0.5122027534418022,2.3700166924743763e-06,0.642206116510185,0.003613075615766473,3.093906616309789e-05,2994.6837606837607,0
7605,652,0.06638159234371818,0.5171651221566975,6.400008223430646e-06,0.5655056402137344,0.004415980158121406,4.071681941443787e-05,2544.223926380368,0
8853,774,0.07880268784361637,0.5203708609271523,7.92964496964181e-06,0.5629097011208386,0.005106502187335654,4.823034007446794e-05,2479.2248062015506,0
2912,902,0.09183465689268988,0.5239517763789608,1.1045639033017485e-05,0.5885084569743891,0.006826301585846714,5.1751475016086015e-05,2831.310421286031,0
8028,313,0.03186723681531256,0.5079906904577192,5.673666122695917e-07,0.7541164905382157,0.0027077340512100733,2.3841788461047887e-05,3325.258785942492,0
8346,615,0.06261453879047037,0.5160510691956076,3.1565089817512086e-06,0.6923068774661688,0.004844479187260295,3.815684621107226e-05,2981.9024390243903,1
8230,459,0.04673182651191203,0.5118024073784586,1.4760124713557565e-06,0.6850852907878339,0.0036960017672268697,2.9235309313554906e-05,3028.590413943355,0
